Song Name,Book,Page Number,Pages
Lady-Bird-Miles-Davis-version,,,
Lady-Bird,1,256,1
Last-Waltz,,,
Laura,2,203,1
Lazy-River,,,
La-Jouet,,,
La-Vie-En-Rose,,,
Let-It-Snow,,,
Lets-Call-The-Whole-Thing-Off,,,
Lets-Face-The-Music-And-Dance,,,
Lets-Fall-In-Love,,,
Libertango,,,
Light-Blue,,,
Like-Someone-in-Love,,,
Limbo-Jazz,,,
Limehouse-Blues,1,263,1
Line-For-Lyons,,,
Linger-Awhile,,,
Little-Bs-Poem,,,
Lil-Darlin,,,
Lonely-Woman,,,
Lotus-Blossom,,,
Lotus-Blossom-Kenny-Dorham,,,
Lover,2,221,1
Lover-Man,2,224,1
Lover-Come-Back-To-Me,,,
Love-For-Sale,2,222,2
Love-Is-Here-to-Stay,,,
Love-is-Just-Around-the-Corner,,,
Love-me-or-leave-me,,,
Love-Theme-from-The-Godfather,,,
Love-Walked-In,,,
Lullaby-of-birdland,1,277,1
Lullaby-of-Broadway,,,
Lulus-Back-In-Town,,,
Lush-Life,1,278,2
L-O-V-E,,,
Mack-the-knife,,,
Makin-Whoopee,,,
Mame,,,
Manha-de-Carnaval,,,
Margie,,,
Meditation,1,288,1
Mein-Herr-from-Cabaret,,,
Memories-of-you,,,
Mercy-Mercy-Mercy,2,235,1
Midnight-Sun,,,
Minority,1,295,1
Minor-Mood,2,238,1
Minor-Swing,,,
Mississippi-Delta-Blues,,,
Miss-Otis-Regrets,,,
Mister-Sandman,,,
Misty,1,296,1
Misty-Roses,,,
Molten-Glass,1,298,1
Monks-Dream,,,
Mood-Indigo,1,301,1
Moonglow,2,244,1
Moonlight-in-Vermont,,,
Moonlight-Serenade,,,
Moon-River,,,
More-Than-You-Know,,,
Muskrat-Ramble,,,
Mustang,,,
My-Blue-Heaven,,,
My-Cherie-Amor,,,
My-favorite-things,1,306,1
My-Foolish-Heart,1,307,1
My-Funny-Valentine,1,308,1
My-Heart-Stood-Still,,,
My-Ideal,,,
My-Little-Suede-Shoes,2,258,1
My-Mans-Gone-Now,,,
My-Melancholy-Baby,,,
My-One-and-Only-Love,1,310,1
My-Romance,1,311,1
My-Shining-Hour,,,
My-Ship,1,314,1
My-Way,,,
My-Window-Faces-The-South,,,
Naima,1,315,1
Namely-You,,,
Nancy-with-the-Laughing-Face,,,
Nardis,1,316,1
Nature-Boy,2,260,1
Nearness,,,
Nefertiti,1,317,1
New-York-New-York,,,
Nicas-Dream,1,319,1
Nice-Work-If-You-Can-Get-It,,,
Night-and-day,1,320,1
Nobody-Else-but-Me,,,
Nothings-Gonna-Change-My-Love-for-You,,,
Not-Like-This,,,
Nows-the-Time,2,265,0.5
No-Moon-at-All,,,
No-More-Blues,,,
No-Regrets,,,
Nuages,,,
Oblivion,,,
Ode-To-A-Flugelhorn,,,
Offshore,,,
Old-Devil-Moon,2,272,1
Old-Fashioned-Love,,,
Old-Folks,,,
Oleo,1,327,1
Once-in-a-While,,,
Once-I-Loved-O-Amor-Em-Paz,1,329,1
One-Note-Samba,1,331,1
Only-Trust-Your-Heart,,,
Only-You,,,
On-a-Clear-Day-You-Can-See-Forever,2,273,1
On-a-Slow-Boat-to-China,,,
On-Green-Dolphin-Street,,,
On-The-Atchison-Topeka-And-The-Santa-Fe,,,
On-the-Street-Where-You-Live,,,
On-The-Sunny-Side-Of-The-Street,,,
Opus-One,,,
Out-Of-Nowhere,1,336,1
Over-The-Rainbow,,,
O-Grande-Amor,,,
Padam-Padam-Edith-Piaf,,,
Palm-Springs-Jump,,,
Parisian-Thoroughfare,,,
Park-Avenue-Petite,,,
Paroles-paroles,,,
Passion-Flower,,,
Peace,1,340,1
Pee-Wee,1,342,1
Pennies-from-Heaven,2,286,1
Pensativa,,,
Perdido,2,288,2
Perfidia-%D0%92%D0%B5%D1%80%D0%BD%D0%B8%D1%81%D1%8C,,,
Perhaps-Perhaps-Perhaps,,,
Petit-Fleur,2,293,1
Please-Dont-Talk-About-Me-When-Im-Gone,,,
Poinciana,,,
Polka-Dots-and-Moonbeams,,,
Portrait-of-Jennie,2,298,1
Por-una-Cabeza,,,
Potato-Chips,,,
Prelude-in-E-Minor,,,
Prelude-to-a-Kiss,1,353,1
Prince-Albert,,,
Prisoner-Of-Love,,,
Puttin-on-the-Ritz,,,
Put-On-a-Happy-Face,,,
Quando-Quando-Quando,,,
Quasimodo,,,
Rag-Mop,,,
Rays-Idea,,,
Recado-Bossa-Nova-The-Gift,2,302,1
Red-Roses-for-a-Blue-Lady,,,
Reflections,,,
Right-Or-Wrong,,,
Robbins-Nest,2,306,1
Rosetta,,,
Rose-Room,,,
Round-Midnight,1,364,1
Route-66,,,
Royal-garden-blues,,,
Ruby-My-Dear,,,
Russian-Lullaby,,,
Salute-To-Bandbox,,,
Samba-De-Orfeu,,,
Samba-do-Aviao,,,
Santa-Claus-Is-Comin-to-Town,,,
Satin-Doll,1,367,1
Scotch-and-Soda,1,368,1
Scrapple-from-the-Apple,1,369,1
Second-Line-Parade,,,
Sentimental-Journey,,,
Sent-For-You-Yesterday,,,
September-Song,2,314,1
Shape-of-my-heart,,,
Shine,,,
Shoo-Shoo-Baby,,,
Sing-Sing-Sing,,,
Sister-Sadie,2,324,1
Skylark,,,
Sleepy-Time-Down-South,,,
